Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,04/01/2022,"$5,320.00",1970-01-01 00:00:00.000000180
Van Tuxwell,India,85% Dark Bars,01/08/2022,"$7,896.00",1970-01-01 00:00:00.000000094
Gigi Bohling,India,Peanut Butter Cubes,07/07/2022,"$4,501.00",1970-01-01 00:00:00.000000091
Jan Morforth,Australia,Peanut Butter Cubes,27/04/2022,"$12,726.00",1970-01-01 00:00:00.000000342
Jehu Rudeforth,UK,Peanut Butter Cubes,24/02/2022,"$13,685.00",1970-01-01 00:00:00.000000184
Van Tuxwell,India,Smooth Sliky Salty,06/06/2022,"$5,376.00",1970-01-01 00:00:00.000000038
Oby Sorrel,UK,99% Dark & Pure,25/01/2022,"$13,685.00",1970-01-01 00:00:00.000000176
Gunar Cockshoot,Australia,After Nines,24/03/2022,"$3,080.00",1970-01-01 00:00:00.000000073
Jehu Rudeforth,New Zealand,50% Dark Bites,20/04/2022,"$3,990.00",1970-01-01 00:00:00.000000059
Brien Boise,Australia,99% Dark & Pure,04/07/2022,"$2,835.00",1970-01-01 00:00:00.000000102
Rafaelita Blaksland,UK,Smooth Sliky Salty,13/01/2022,"$4,704.00",1970-01-01 00:00:00.000000062
Barr Faughny,USA,Orange Choco,10/03/2022,"$3,703.00",1970-01-01 00:00:00.000000011
Mallorie Waber,Canada,Eclairs,13/01/2022,"$1,442.00",1970-01-01 00:00:00.000000286
Karlen McCaffrey,New Zealand,Drinking Coco,28/07/2022,$168.00,1970-01-01 00:00:00.000000156
Marney O'Breen,New Zealand,Peanut Butter Cubes,03/08/2022,"$8,379.00",1970-01-01 00:00:00.000000173
Beverie Moffet,Australia,Organic Choco Syrup,26/01/2022,"$6,790.00",1970-01-01 00:00:00.000000356
Van Tuxwell,Canada,Organic Choco Syrup,14/02/2022,"$4,067.00",1970-01-01 00:00:00.000000042
Roddy Speechley,USA,Smooth Sliky Salty,05/04/2022,"$3,017.00",1970-01-01 00:00:00.000000140
Beverie Moffet,Canada,Milk Bars,16/02/2022,"$8,799.00",1970-01-01 00:00:00.000000250
Curtice Advani,UK,85% Dark Bars,08/06/2022,"$1,085.00",1970-01-01 00:00:00.000000172
Brien Boise,Australia,Eclairs,27/06/2022,"$6,888.00",1970-01-01 00:00:00.000000088
Gunar Cockshoot,USA,Spicy Special Slims,17/02/2022,"$1,267.00",1970-01-01 00:00:00.000000157
Marney O'Breen,USA,After Nines,30/05/2022,"$4,753.00",1970-01-01 00:00:00.000000163
Husein Augar,UK,Drinking Coco,14/03/2022,"$3,003.00",1970-01-01 00:00:00.000000113
Kaine Padly,Australia,Eclairs,28/02/2022,"$7,672.00",1970-01-01 00:00:00.000000115
Karlen McCaffrey,India,Fruit & Nut Bars,26/01/2022,$168.00,1970-01-01 00:00:00.000000321
Roddy Speechley,Canada,Spicy Special Slims,09/02/2022,"$1,652.00",1970-01-01 00:00:00.000000186
Husein Augar,USA,Eclairs,07/07/2022,"$4,025.00",1970-01-01 00:00:00.000000112
Dennison Crosswaite,New Zealand,White Choc,05/07/2022,"$9,492.00",1970-01-01 00:00:00.000000151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15/06/2022,"$5,061.00",1970-01-01 00:00:00.000000301
Van Tuxwell,New Zealand,85% Dark Bars,24/05/2022,"$1,722.00",1970-01-01 00:00:00.000000121
Rafaelita Blaksland,UK,99% Dark & Pure,29/06/2022,"$12,446.00",1970-01-01 00:00:00.000000150
Wilone O'Kielt,Australia,Manuka Honey Choco,11/05/2022,"$4,284.00",1970-01-01 00:00:00.000000094
Karlen McCaffrey,UK,Almond Choco,30/06/2022,"$6,839.00",1970-01-01 00:00:00.000000133
Andria Kimpton,Canada,After Nines,11/05/2022,"$2,163.00",1970-01-01 00:00:00.000000070
Roddy Speechley,USA,Manuka Honey Choco,22/07/2022,"$9,583.00",1970-01-01 00:00:00.000000315
Andria Kimpton,UK,50% Dark Bites,24/08/2022,"$2,653.00",1970-01-01 00:00:00.000000314
Kelci Walkden,New Zealand,After Nines,07/07/2022,$147.00,1970-01-01 00:00:00.000000072
Camilla Castle,Australia,85% Dark Bars,19/05/2022,"$3,654.00",1970-01-01 00:00:00.000000014
